Step: 19 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 20 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 1 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 2 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 3 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 4 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 5 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 6 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 7 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 8 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 9 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 10 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 11 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 12 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 13 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 14 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 15 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 16 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 17 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 18 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 19 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 20 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 1 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 2 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 3 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 4 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 5 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 6 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 7 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 8 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 9 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 10 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 11 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 12 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 13 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 14 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 15 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 16 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 17 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 18 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 19 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 20 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 1 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 2 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 3 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 4 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 5 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 6 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 7 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 8 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 9 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 10 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 11 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 12 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 13 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 14 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 15 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 16 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 17 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 18 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 19 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 20 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 1 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 2 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 3 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 4 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 5 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 6 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 7 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 8 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 9 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 10 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 11 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 12 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 13 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 14 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 15 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 16 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 17 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 18 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 19 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 20 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 1 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 2 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 3 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 4 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 5 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 6 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 7 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 8 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 9 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 10 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 11 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 12 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 13 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 14 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 15 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 16 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 17 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 18 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 19 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 20 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 1 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 2 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 3 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 4 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 5 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 6 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 7 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 8 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 9 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 10 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 11 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 12 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 13 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 14 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 15 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 16 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 17 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 18 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 19 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 20 | Pos: [-2.86099143 -2.37835919] | Sent Action: [0, 1]
Step: 0 | Pos: [-3.1159252402212068, 1.5936352105780505] | Sent Action: [0, 1]
